_id,id,genero,edad,ocup,cp,len_cp
ObjectId("5e48217f0014452e3c1b15ad"),33,M,45,3,55421,5
ObjectId("5e48217f0014452e3c1b15ae"),34,F,18,0,02135,5
ObjectId("5e48217f0014452e3c1b15af"),35,M,45,1,02482,5
ObjectId("5e48217f0014452e3c1b15b0"),36,M,25,3,94123,5
ObjectId("5e48217f0014452e3c1b15b1"),37,F,25,9,66212,5
ObjectId("5e48217f0014452e3c1b15b2"),38,F,18,4,02215,5
ObjectId("5e48217f0014452e3c1b15b3"),39,M,18,4,61820,5
ObjectId("5e48217f0014452e3c1b15b4"),40,M,45,0,10543,5
ObjectId("5e48217f0014452e3c1b15b5"),41,F,18,4,15116,5
ObjectId("5e48217f0014452e3c1b15b6"),42,M,25,8,24502,5
ObjectId("5e48217f0014452e3c1b15b7"),43,M,25,12,60614,5
ObjectId("5e48217f0014452e3c1b15b8"),44,M,45,17,98052,5
ObjectId("5e48217f0014452e3c1b15b9"),45,F,45,16,94110,5
ObjectId("5e48217f0014452e3c1b15ba"),46,M,18,19,75602,5
ObjectId("5e48217f0014452e3c1b15bb"),47,M,18,4,94305,5
ObjectId("5e48217f0014452e3c1b15bc"),48,M,25,4,92107,5
ObjectId("5e48217f0014452e3c1b15bd"),49,M,18,12,77084,5
ObjectId("5e48217f0014452e3c1b15be"),50,F,25,2,98133,5
ObjectId("5e48217f0014452e3c1b15bf"),51,F,1,10,10562,5
ObjectId("5e48217f0014452e3c1b15c0"),52,M,18,4,72212,5
ObjectId("5e48217f0014452e3c1b15c1"),53,M,25,0,96931,5
ObjectId("5e48217f0014452e3c1b15c2"),54,M,50,1,56723,5
ObjectId("5e48217f0014452e3c1b15c3"),55,F,35,12,55303,5
ObjectId("5e48217f0014452e3c1b15c4"),56,M,35,20,60440,5
ObjectId("5e48217f0014452e3c1b15c5"),57,M,18,19,30350,5
ObjectId("5e48217f0014452e3c1b15c6"),58,M,25,2,30303,5
ObjectId("5e48217f0014452e3c1b15c7"),59,F,50,1,55413,5
ObjectId("5e48217f0014452e3c1b15c8"),60,M,50,1,72118,5
ObjectId("5e48217f0014452e3c1b15c9"),61,M,25,17,95122,5
ObjectId("5e48217f0014452e3c1b15ca"),62,F,35,3,98105,5
ObjectId("5e48217f0014452e3c1b15cb"),63,M,18,4,54902,5
ObjectId("5e48217f0014452e3c1b15cc"),64,M,18,1,53706,5
ObjectId("5e48217f0014452e3c1b15cd"),65,M,35,12,55803,5
ObjectId("5e48217f0014452e3c1b15ce"),66,M,25,18,57706,5
ObjectId("5e48217f0014452e3c1b15cf"),67,F,50,5,60181,5
ObjectId("5e48217f0014452e3c1b15d0"),68,M,18,4,53706,5
ObjectId("5e48217f0014452e3c1b15d1"),69,F,25,1,02143,5
ObjectId("5e48217f0014452e3c1b15d2"),70,M,18,4,53703,5
ObjectId("5e48217f0014452e3c1b15d3"),71,M,25,14,95008,5
ObjectId("5e48217f0014452e3c1b15d4"),72,F,45,0,55122,5
ObjectId("5e48217f0014452e3c1b15d5"),73,M,18,4,53706,5
ObjectId("5e48217f0014452e3c1b15d6"),74,M,35,14,94530,5
ObjectId("5e48217f0014452e3c1b15d7"),75,F,1,10,01748,5
ObjectId("5e48217f0014452e3c1b15d8"),76,M,35,7,55413,5
ObjectId("5e48217f0014452e3c1b15d9"),77,M,18,4,15321,5
ObjectId("5e48217f0014452e3c1b15da"),78,F,45,1,98029,5
ObjectId("5e48217f0014452e3c1b15db"),79,F,45,0,98103,5
ObjectId("5e48217f0014452e3c1b15dc"),80,M,56,1,49327,5
ObjectId("5e48217f0014452e3c1b15dd"),81,F,25,0,60640,5
ObjectId("5e48217f0014452e3c1b15de"),82,M,25,17,48380,5
ObjectId("5e48217f0014452e3c1b15df"),83,F,25,2,94609,5
ObjectId("5e48217f0014452e3c1b15e0"),84,M,18,4,53140,5
ObjectId("5e48217f0014452e3c1b15e1"),85,M,18,4,94945,5
ObjectId("5e48217f0014452e3c1b15e2"),86,F,1,10,54467,5
ObjectId("5e48217f0014452e3c1b15e3"),87,M,25,14,48360,5
ObjectId("5e48217f0014452e3c1b15e4"),88,F,45,1,02476,5
ObjectId("5e48217f0014452e3c1b15e5"),89,F,56,9,85749,5
ObjectId("5e48217f0014452e3c1b15e6"),90,M,56,13,85749,5
ObjectId("5e48217f0014452e3c1b15e7"),91,M,35,7,07650,5
ObjectId("5e48217f0014452e3c1b15e8"),92,F,18,4,44243,5
ObjectId("5e48217f0014452e3c1b15e9"),93,M,25,17,95825,5
ObjectId("5e48217f0014452e3c1b15ea"),94,M,25,17,28601,5
ObjectId("5e48217f0014452e3c1b15eb"),95,M,45,0,98201,5
ObjectId("5e48217f0014452e3c1b15ec"),96,F,25,16,78028,5
ObjectId("5e48217f0014452e3c1b15ed"),97,F,35,3,66210,5
ObjectId("5e48217f0014452e3c1b15ee"),98,F,35,7,33547,5
ObjectId("5e48217f0014452e3c1b15ef"),99,F,1,10,19390,5
ObjectId("5e48217f0014452e3c1b15f0"),100,M,35,17,95401,5
ObjectId("5e48217f0014452e3c1b15f1"),101,F,18,3,33314,5
ObjectId("5e48217f0014452e3c1b15f2"),102,M,35,19,20871,5
ObjectId("5e48217f0014452e3c1b15f3"),103,M,45,7,92104,5
ObjectId("5e48217f0014452e3c1b15f4"),104,M,25,12,00926,5
ObjectId("5e48217f0014452e3c1b15f5"),105,M,45,12,90277,5
ObjectId("5e48217f0014452e3c1b15f6"),106,F,35,11,79101,5
ObjectId("5e48217f0014452e3c1b15f7"),107,M,45,18,63129,5
ObjectId("5e48217f0014452e3c1b15f8"),108,M,25,12,30316,5
ObjectId("5e48217f0014452e3c1b15f9"),109,M,45,15,92028,5
ObjectId("5e48217f0014452e3c1b15fa"),110,M,25,2,90803,5
ObjectId("5e48217f0014452e3c1b15fb"),111,M,35,15,55416,5
ObjectId("5e48217f0014452e3c1b15fc"),112,M,25,16,97209,5
ObjectId("5e48217f0014452e3c1b15fd"),113,M,18,12,37032,5
ObjectId("5e48217f0014452e3c1b15fe"),114,F,25,2,83712,5
ObjectId("5e48217f0014452e3c1b15ff"),115,M,25,17,28083,5
ObjectId("5e48217f0014452e3c1b1600"),116,M,25,17,55744,5
ObjectId("5e48217f0014452e3c1b1601"),117,M,25,17,33314,5
ObjectId("5e48217f0014452e3c1b1602"),118,M,35,17,22315,5
ObjectId("5e48217f0014452e3c1b1603"),119,F,1,10,77515,5
ObjectId("5e48217f0014452e3c1b1604"),120,M,25,11,27106,5
ObjectId("5e48217f0014452e3c1b1605"),121,M,35,7,75229,5
ObjectId("5e48217f0014452e3c1b1606"),122,F,18,4,94305,5
ObjectId("5e48217f0014452e3c1b1607"),123,M,35,9,67208,5
ObjectId("5e48217f0014452e3c1b1608"),124,M,56,7,91356,5
ObjectId("5e48217f0014452e3c1b1609"),125,M,45,14,01701,5
ObjectId("5e48217f0014452e3c1b160a"),126,M,18,9,98117,5
ObjectId("5e48217f0014452e3c1b160b"),127,F,45,3,01770,5
ObjectId("5e48217f0014452e3c1b160c"),128,M,56,6,37922,5
ObjectId("5e48217f0014452e3c1b160d"),129,M,25,11,20164,5
ObjectId("5e48217f0014452e3c1b160e"),130,M,35,17,50021,5
ObjectId("5e48217f0014452e3c1b160f"),131,M,18,4,06520,5
ObjectId("5e48217f0014452e3c1b1610"),132,M,25,17,99709,5
ObjectId("5e48217f0014452e3c1b1611"),133,F,25,0,55071,5
ObjectId("5e48217f0014452e3c1b1612"),134,M,25,0,66212,5
ObjectId("5e48217f0014452e3c1b1613"),135,M,18,4,20006,5
ObjectId("5e48217f0014452e3c1b1614"),136,M,18,2,21202,5
ObjectId("5e48217f0014452e3c1b1615"),137,F,45,6,78758,5
ObjectId("5e48217f0014452e3c1b1616"),138,M,18,20,22203,5
ObjectId("5e48217f0014452e3c1b1617"),139,F,25,20,45409,5
ObjectId("5e48217f0014452e3c1b1618"),140,F,35,1,55107,5
ObjectId("5e48217f0014452e3c1b1619"),141,M,35,13,62035,5
ObjectId("5e48217f0014452e3c1b161a"),142,M,25,7,10011,5
ObjectId("5e48217f0014452e3c1b161b"),143,M,18,3,64043,5
ObjectId("5e48217f0014452e3c1b161c"),144,M,25,17,29401,5
ObjectId("5e48217f0014452e3c1b161d"),145,M,18,4,19081,5
ObjectId("5e48217f0014452e3c1b161e"),146,F,35,20,10954,5
ObjectId("5e48217f0014452e3c1b161f"),147,M,18,4,91360,5
ObjectId("5e48217f0014452e3c1b1620"),148,M,50,17,57747,5
ObjectId("5e48217f0014452e3c1b1621"),149,M,25,1,29205,5
ObjectId("5e48217f0014452e3c1b1622"),150,M,35,7,98144,5
ObjectId("5e48217f0014452e3c1b1623"),151,F,25,20,85013,5
ObjectId("5e48217f0014452e3c1b1624"),152,M,18,4,48104,5
ObjectId("5e48217f0014452e3c1b1625"),153,M,1,10,51537,5
ObjectId("5e48217f0014452e3c1b1626"),154,M,50,20,94530,5
ObjectId("5e48217f0014452e3c1b1627"),155,M,35,12,07470,5
ObjectId("5e48217f0014452e3c1b1628"),156,F,45,7,14519,5
ObjectId("5e48217f0014452e3c1b1629"),157,M,35,16,12866,5
ObjectId("5e48217f0014452e3c1b162a"),158,M,56,7,28754,5
ObjectId("5e48217f0014452e3c1b162b"),159,F,45,0,37922,5
ObjectId("5e48217f0014452e3c1b162c"),160,M,35,7,13021,5
ObjectId("5e48217f0014452e3c1b162e"),162,F,18,4,93117,5
ObjectId("5e48217f0014452e3c1b162f"),163,M,18,4,85013,5
ObjectId("5e48217f0014452e3c1b1630"),164,F,56,13,94566,5
ObjectId("5e48217f0014452e3c1b1631"),165,M,18,16,98502,5
ObjectId("5e48217f0014452e3c1b1632"),166,M,18,4,92802,5
ObjectId("5e48217f0014452e3c1b1633"),167,F,25,11,10022,5
ObjectId("5e48217f0014452e3c1b1634"),168,F,50,0,46970,5
ObjectId("5e48217f0014452e3c1b1635"),169,M,25,7,55439,5
ObjectId("5e48217f0014452e3c1b1636"),170,M,25,11,07002,5
ObjectId("5e48217f0014452e3c1b1637"),171,F,50,17,55441,5
ObjectId("5e48217f0014452e3c1b1638"),172,M,25,3,07661,5
ObjectId("5e48217f0014452e3c1b1639"),173,M,25,0,45237,5
ObjectId("5e48217f0014452e3c1b163a"),174,M,25,16,21203,5
ObjectId("5e48217f0014452e3c1b163b"),175,F,25,2,95123,5
ObjectId("5e48217f0014452e3c1b163c"),176,F,18,3,55016,5
ObjectId("5e48217f0014452e3c1b163d"),177,M,50,1,54016,5
ObjectId("5e48217f0014452e3c1b163e"),178,M,56,17,53705,5
ObjectId("5e48217f0014452e3c1b163f"),179,M,25,0,02135,5
ObjectId("5e48217f0014452e3c1b1640"),180,M,45,12,01603,5
ObjectId("5e48217f0014452e3c1b1641"),181,M,18,17,33186,5
ObjectId("5e48217f0014452e3c1b1642"),182,M,18,4,03052,5
ObjectId("5e48217f0014452e3c1b1643"),183,F,45,1,55407,5
ObjectId("5e48217f0014452e3c1b1644"),184,F,25,0,19001,5
ObjectId("5e48217f0014452e3c1b1645"),185,M,45,0,14468,5
ObjectId("5e48217f0014452e3c1b1646"),186,M,18,5,91767,5
ObjectId("5e48217f0014452e3c1b1647"),187,F,45,1,94061,5
ObjectId("5e48217f0014452e3c1b1648"),188,M,56,16,79930,5
ObjectId("5e48217f0014452e3c1b1649"),189,M,18,0,60076,5
ObjectId("5e48217f0014452e3c1b164a"),190,M,25,17,55125,5
ObjectId("5e48217f0014452e3c1b164b"),191,M,18,4,04915,5
ObjectId("5e48217f0014452e3c1b164c"),192,M,18,1,10977,5
ObjectId("5e48217f0014452e3c1b164d"),193,F,45,15,44106,5
ObjectId("5e48217f0014452e3c1b164e"),194,F,1,10,29146,5
ObjectId("5e48217f0014452e3c1b164f"),195,M,25,12,10458,5
ObjectId("5e48217f0014452e3c1b1650"),196,F,35,9,94587,5
ObjectId("5e48217f0014452e3c1b1651"),197,M,18,14,10023,5
ObjectId("5e48217f0014452e3c1b1652"),198,M,25,12,55108,5
ObjectId("5e48217f0014452e3c1b1653"),199,M,18,4,83706,5
ObjectId("5e48217f0014452e3c1b1654"),200,F,18,4,84321,5
ObjectId("5e48217f0014452e3c1b1655"),201,F,35,2,55117,5
ObjectId("5e48217f0014452e3c1b1656"),202,M,18,4,53706,5
ObjectId("5e48217f0014452e3c1b1657"),203,F,18,4,53715,5
ObjectId("5e48217f0014452e3c1b1658"),204,M,25,7,92123,5
ObjectId("5e48217f0014452e3c1b1659"),205,M,35,12,97333,5
ObjectId("5e48217f0014452e3c1b165a"),206,M,25,17,20194,5
ObjectId("5e48217f0014452e3c1b165b"),207,M,25,12,94115,5
ObjectId("5e48217f0014452e3c1b165c"),208,M,35,17,55432,5
ObjectId("5e48217f0014452e3c1b165d"),209,M,35,1,90048,5
ObjectId("5e48217f0014452e3c1b165e"),210,F,1,10,25801,5
ObjectId("5e48217f0014452e3c1b165f"),211,M,45,17,90620,5
ObjectId("5e48217f0014452e3c1b1660"),212,M,25,16,53714,5
ObjectId("5e48217f0014452e3c1b1661"),213,F,18,4,01609,5
ObjectId("5e48217f0014452e3c1b1662"),214,M,18,20,80218,5
ObjectId("5e48217f0014452e3c1b1663"),215,M,35,14,92075,5
ObjectId("5e48217f0014452e3c1b1664"),216,M,45,13,52761,5
ObjectId("5e48217f0014452e3c1b1665"),217,M,18,4,22903,5
ObjectId("5e48217f0014452e3c1b1666"),218,M,35,14,95822,5
ObjectId("5e48217f0014452e3c1b1667"),219,F,25,4,55113,5
ObjectId("5e48217f0014452e3c1b1668"),220,M,25,12,22903,5
ObjectId("5e48217f0014452e3c1b1669"),221,F,25,0,94063,5
ObjectId("5e48217f0014452e3c1b166a"),222,M,25,1,55116,5
ObjectId("5e48217f0014452e3c1b166b"),223,M,25,17,28262,5
ObjectId("5e48217f0014452e3c1b166c"),224,F,18,4,14850,5
ObjectId("5e48217f0014452e3c1b166d"),225,M,25,7,11215,5
ObjectId("5e48217f0014452e3c1b166e"),226,M,35,1,94518,5
ObjectId("5e48217f0014452e3c1b166f"),227,M,35,20,90291,5
ObjectId("5e48217f0014452e3c1b1670"),228,M,25,15,55455,5
ObjectId("5e48217f0014452e3c1b1671"),229,M,18,10,04576,5
ObjectId("5e48217f0014452e3c1b1672"),230,M,45,1,43210,5
ObjectId("5e48217f0014452e3c1b1673"),231,M,25,3,55455,5
ObjectId("5e48217f0014452e3c1b1674"),232,M,25,20,55408,5
ObjectId("5e48217f0014452e3c1b1676"),234,M,35,7,39652,5
ObjectId("5e48217f0014452e3c1b1677"),235,M,25,0,98153,5
ObjectId("5e48217f0014452e3c1b1678"),236,M,25,5,55126,5
ObjectId("5e48217f0014452e3c1b1679"),237,M,25,6,46835,5
ObjectId("5e48217f0014452e3c1b167a"),238,F,50,7,90291,5
ObjectId("5e48217f0014452e3c1b167b"),239,M,18,19,94618,5
ObjectId("5e48217f0014452e3c1b167c"),240,M,50,17,55113,5
ObjectId("5e48217f0014452e3c1b167d"),241,M,35,20,55121,5
ObjectId("5e48217f0014452e3c1b167e"),242,F,18,4,53706,5
ObjectId("5e48217f0014452e3c1b167f"),243,M,25,16,11576,5
ObjectId("5e48217f0014452e3c1b1680"),244,M,50,7,19072,5
ObjectId("5e48217f0014452e3c1b1681"),245,M,35,16,66046,5
ObjectId("5e48217f0014452e3c1b1682"),246,F,18,4,60625,5
ObjectId("5e48217f0014452e3c1b1683"),247,M,25,17,94404,5
ObjectId("5e48217f0014452e3c1b1684"),248,M,18,17,72703,5
ObjectId("5e48217f0014452e3c1b1685"),249,F,18,14,48126,5
ObjectId("5e48217f0014452e3c1b1686"),250,M,35,16,11229,5
ObjectId("5e48217f0014452e3c1b1687"),251,M,56,17,55105,5
ObjectId("5e48217f0014452e3c1b1688"),252,M,25,12,94112,5
ObjectId("5e48217f0014452e3c1b1689"),253,F,25,11,97370,5
ObjectId("5e48217f0014452e3c1b168a"),254,M,35,17,49015,5
ObjectId("5e48217f0014452e3c1b168b"),255,M,35,0,85310,5
ObjectId("5e48217f0014452e3c1b168c"),256,M,45,16,55076,5
ObjectId("5e48217f0014452e3c1b168d"),257,M,18,18,55113,5
ObjectId("5e48217f0014452e3c1b168e"),258,M,25,7,55436,5
ObjectId("5e48217f0014452e3c1b168f"),259,M,25,1,60615,5
ObjectId("5e48217f0014452e3c1b1690"),260,M,18,19,98126,5
ObjectId("5e48217f0014452e3c1b1691"),261,M,25,20,75801,5
ObjectId("5e48217f0014452e3c1b1692"),262,F,25,1,68503,5
ObjectId("5e48217f0014452e3c1b1693"),263,F,25,7,22304,5
ObjectId("5e48217f0014452e3c1b1694"),264,M,35,0,20755,5
ObjectId("5e48217f0014452e3c1b1695"),265,F,35,7,55116,5
ObjectId("5e48217f0014452e3c1b1696"),266,M,35,11,75229,5
ObjectId("5e48217f0014452e3c1b1697"),267,M,45,12,55001,5
ObjectId("5e48217f0014452e3c1b1698"),268,F,18,12,29708,5
ObjectId("5e48217f0014452e3c1b1699"),269,M,25,2,55408,5
ObjectId("5e48217f0014452e3c1b169a"),270,M,50,14,55414,5
ObjectId("5e48217f0014452e3c1b169b"),271,M,18,4,48202,5
ObjectId("5e48217f0014452e3c1b169c"),272,M,18,0,80302,5
ObjectId("5e48217f0014452e3c1b169d"),273,M,18,4,55427,5
ObjectId("5e48217f0014452e3c1b169e"),274,M,18,4,55455,5
ObjectId("5e48217f0014452e3c1b169f"),275,M,25,0,48162,5
ObjectId("5e48217f0014452e3c1b16a0"),276,M,45,16,01982,5
ObjectId("5e48217f0014452e3c1b16a1"),277,F,35,1,98126,5
ObjectId("5e48217f0014452e3c1b16a2"),278,M,45,18,60482,5
ObjectId("5e48217f0014452e3c1b16a3"),279,M,25,14,91214,5
ObjectId("5e48217f0014452e3c1b16a4"),280,M,50,7,19118,5
ObjectId("5e48217f0014452e3c1b16a5"),281,F,35,0,94117,5
ObjectId("5e48217f0014452e3c1b16a6"),282,M,25,17,94401,5
ObjectId("5e48217f0014452e3c1b16a7"),283,M,25,0,10003,5
ObjectId("5e48217f0014452e3c1b16a8"),284,M,25,12,91910,5
ObjectId("5e48217f0014452e3c1b16a9"),285,F,35,0,94109,5
ObjectId("5e48217f0014452e3c1b16aa"),286,M,25,1,54601,5
ObjectId("5e48217f0014452e3c1b16ab"),287,M,50,13,94706,5
ObjectId("5e48217f0014452e3c1b16ac"),288,F,25,12,97119,5
ObjectId("5e48217f0014452e3c1b16ad"),289,F,25,0,11801,5
ObjectId("5e48217f0014452e3c1b16ae"),290,F,25,20,94591,5
ObjectId("5e48217f0014452e3c1b16af"),291,M,35,12,55110,5
ObjectId("5e48217f0014452e3c1b16b0"),292,M,35,7,19406,5
ObjectId("5e48217f0014452e3c1b16b2"),294,F,45,9,43147,5
ObjectId("5e48217f0014452e3c1b16b3"),295,M,18,0,80203,5
ObjectId("5e48217f0014452e3c1b16b4"),296,M,50,5,89432,5
ObjectId("5e48217f0014452e3c1b16b5"),297,M,18,2,97211,5
ObjectId("5e48217f0014452e3c1b16b6"),298,F,18,4,19010,5
